"MORPHID","LEMMA","POS","MORPH"
866,"counterplot","v","counterplotted"
869,"countersink","v","countersunk"
868,"countersink","v","countersank"
871,"court-martial","v","court-martialling"
870,"court-martial","v","court-martialled"
873,"courtly","a","courtliest"
872,"courtly","a","courtlier"
874,"cowfish","n","cowfishes"
875,"coxa","n","coxae"
877,"cozy","a","coziest"
876,"cozy","a","cozier"
881,"crab","v","crabbing"
878,"crab","v","crabbed"
880,"crabby","a","crabbiest"
879,"crabby","a","crabbier"
882,"cracker","a","cracker"
884,"crafty","a","craftiest"
883,"crafty","a","craftier"
886,"craggy","a","craggiest"
885,"craggy","a","craggier"
888,"cram","v","cramming"
887,"cram","v","crammed"
889,"cranium","n","crania"
891,"cranky","a","crankiest"
890,"cranky","a","crankier"
893,"crap","v","crapping"
892,"crap","v","crapped"
830,"conquistador","n","conquistadores"
831,"consortium","n","consortia"
832,"continuum","n","continua"
833,"contralto","n","contralti"
835,"control","v","controlling"
834,"control","v","controlled"
836,"convolvulus","n","convolvuli"
766,"coordinate","v","co-ordinating"
765,"coordinate","v","co-ordinates"
764,"coordinate","v","co-ordinated"
763,"coordinate","v","co-ordinate"
839,"cop","v","copping"
838,"cop","v","copped"
840,"copula","n","copulae"
837,"copy","v","copied"
842,"coquet","v","coquetting"
841,"coquet","v","coquetted"
843,"corium","n","coria"
844,"cornea","n","corneae"
847,"cornu","n","cornua"
846,"corny","a","corniest"
845,"corny","a","cornier"
848,"corona","n","coronae"
849,"corpus","n","corpora"
850,"corpus luteum","n","corpora lutea"
851,"corpus striatum","n","corpora striata"
853,"corral","v","corralling"
852,"corral","v","corralled"
854,"corrigendum","n","corrigenda"
855,"cortex","n","cortices"
856,"cortina","n","cortinae"
859,"costa","n","costae"
861,"costly","a","costliest"
860,"costly","a","costlier"
862,"costumer","a","costumer"
858,"cosy","a","cosiest"
857,"cosy","a","cosier"
934,"cudgel","v","cudgelling"
933,"cudgel","v","cudgelled"
935,"culex","n","culices"
936,"cultus","n","culti"
938,"cumulonimbus","n","cumulonimbi"
937,"cumulus","n","cumuli"
942,"cup","v","cupping"
941,"cup","v","cupped"
940,"cupel","v","cupelling"
939,"cupel","v","cupelled"
945,"curet","v","curetting"
944,"curet","v","curettes"
943,"curet","v","curetted"
946,"curia","n","curiae"
968,"dab","v","dabbing"
967,"dab","v","dabbed"
